address,chain,role
0xee89c2c928843ec95f8050e439cf99dec8b22f4a,ethereum,active
0xf12613a365a04c0702a2252fbe8103673d5d15c5,ethereum,active
0xf18caf226818e997ecfc08634f43c2cbad5bf53f,ethereum,active
0xf24b23a42b79e8305359d8c368ec2548960582dc,ethereum,active
0xf40f616c5d900c555dd70bede1a6dee2845ac9b4,ethereum,active
0xf4241da70734375dff580bfeebf4e5b748424575,ethereum,active
0xf50faf43b7a926dd0a462210db9ca5ac8bfe262e,ethereum,active
0xf6158d4a302e5141c813f4e684c3459c3d20b2ff,ethereum,active
0xf76a4d4701e59b10174addd9c8e5f2b57cbce9a6,ethereum,active
0xf7b06baa2ada5380540e5b74541c2de1c8c3b98a,ethereum,active
0xf8fa524a5c4c8eb0140bf570101dbf9eb517d81e,ethereum,active
0xf955802eeeb2ab3fcedf2b19ec4503e7eb745eee,ethereum,active
0xf9766ad4a178e6ec2dd3d49babc50016b461267d,ethereum,active
0xf99db53639708ef4d7ff8efeff55f6eafc498b6d,ethereum,active
0xfa533435f1f355ab76b3bf927c04471398ea5bff,ethereum,active
0xfd945148d07a609abc73c9b2741f674d115874d9,ethereum,active
0xfe187c94c218e109ee63f343a071c18c74c1eeaa,ethereum,active
0xfed03313af005c8dff1afeac5b6bb23b479068fe,ethereum,active
0xff601fb4c2841f182937c2432b3337a3431ff8bd,ethereum,active
0xfff3f3984c1db103102f422f78296d5c60fce0f0,ethereum,active
0x023262339a7506c54514e1ae5b9a94cda709ca74,ethereum,passive
0x03caa8f2f455a144fe7d811c0d7a15efaec1b50f,ethereum,passive
0x0a7045db87e6d5c43e250ca7c594407c6e228e3e,ethereum,passive
0x0d84227adc391de6d1d0b6ec4fc531c5e51937e1,ethereum,passive
0x0e937273937e11be6ebec91a0797591b584ad5bd,ethereum,passive
0x1096cc834b310ad6c1dfe71369d241cc0e352df9,ethereum,passive
0x110c68df297370c53c6dca1bd2413ff67324527c,ethereum,passive
0x13aeef64a82338d4487979e6f60e06485b6e457f,ethereum,passive
0x1fc5480211b985e615f52f94c7df2e0e161d8fb2,ethereum,passive
0x20ff49ea3385b6488946430ed1d4de6d91b43cad,ethereum,passive
0x2641e230a198f2224aa1d94baf304774f804f3c3,ethereum,passive
0x2e0d334cfe5ea04804a4810f97db818b8ed5cdb8,ethereum,passive
